Sum of price_usd,last_updated,forecastValue,confidenceHighBound,confidenceLowBound
71493.42,2025-05-18 00:00:00,,,
73289.41,2025-05-19 00:00:00,,,
72034.82,2025-05-20 00:00:00,,,
70124.74,2025-05-21 00:00:00,,,
71251.54,2025-05-22 00:00:00,,,
72890.45,2025-05-23 00:00:00,,,
74431.91,2025-05-24 00:00:00,74431.91,74431.91,74431.91
,2025-05-25 00:00:00,74260.44985791,77153.53104588132,71367.36866993869
,2025-05-26 00:00:00,74260.44985791,78152.69252197274,70368.20719384727
,2025-05-27 00:00:00,74260.44985791,78943.31085859185,69577.58885722815
